en,my
In Japan we can drink at twenty years of age,ဂျပန်မှာ အသက်နှစ်ဆယ်ကစပြီး အရက် သောက်လို့ရတယ်။
I cannot run anymore because my feet hurt,ခြေထောက်နာလို့ မပြေးနိုင်တော့ဘူး။
This place is a big and bustling town,ဒီမြို့က ကြီးပြီး စည်ကားတဲ့မြို့ ဖြစ်တယ်။
I eat breakfast every day,ကျွန်တော် မနက်တိုင်း မနက်စာစားတယ်။
Chicken is cheap but beef tastes better,ကြက်သားက ဈေးပေါပေမဲ့ အမဲသားက ပိုစားလို့ကောင်းတယ်။
Im eating dinner right now,အတော်ပဲ၊ အခု ညစာစားနေတုန်း။
I dont like sports,ကျွန်တော် အားကစား ဝါသနာမပါဘူး။
There is a big lake in the park,ပန်းခြံထဲမှာ ရေကန် အကြီးကြီး ရှိတယ်။
Mr Tanaka studies at the library but I study at home,မစ္စတာတာနာခါက စာကြည့်တိုက်မှာ စာဖတ်ပေမဲ့ ကျွန်တော်ကတော့ အိမ်မှာပဲ ဖတ်တယ်။
Whose bag is that,အဲဒီအိတ်က ဘယ်သူ့ဟာလဲ။
These socks are cheap but wont wear out quickly,ဒီခြေအိတ်က ခိုင်ပြီး ဈေးသက်သာတယ်။
Last month a department store was opened next to our town,ရှေ့လက ဘေးကပ်လျက်မြို့မှာ ကုန်တိုက်အသစ် ဖွင့်တယ်။
I eat bread and drink milk every morning,မနက်တိုင်း ပေါင်မုန့် စားပြီး နွားနို့ သောက်တယ်။
I will call a taxi,တက္ကစီ တစ်စီး ခေါ်မယ်။
I telephoned while I was in my room,အခန်းမှာ ရှိတုန်းက ဖုန်းဆက်တယ်။
Ten more minutes until five,နောက်ဆယ်မိနစ်ဆို ငါးနာရီ ထိုးပြီ။
I ate the snack I received from Mr Tanaka,မစ္စတာတာနာခါဆီက ရခဲ့တဲ့မုန့်ကို စားလိုက်တယ်။
I am a student,ကျွန်တော် ကျောင်းသားပါ။
If you push here coffee will come out,ဒီနေရာကို နှိပ်ရင် ကော်ဖီ ထွက်တယ်။
The food at the party was not very good,ပါတီက ဟင်းတွေ စားလို့မကောင်းဘူး။
Was there anyone in the room next to us,ဘေးကအခန်းမှာ ဘယ်သူများ ရှိလို့လဲ။
I will go home for today,ဒီနေ့တော့ အိမ်ပြန်မယ်။
It is dangerous here so you may not go inside,အန္တရာယ်ရှိလို့ ဒီကို မဝင်ရဘူး။
There is a new airport near here,အိမ်နားက လေဆိပ်အသစ်ကြီး ဆောက်ပြီးသွားပြီ။
You cannot use the thing that is over there,အဲဒီမှာ ရှိတဲ့ပစ္စည်းတွေကို မသုံးရဘူး။
This classroom is bright and pretty,ဒီစာသင်ခန်းက အလင်းရောင်ကောင်းပြီး သန့်ရှင်းတယ်။
People who have not brought a ballpoint pen may use a pencil,ဘောပင် ပါမလာတဲ့သူတွေ ခဲတံနဲ့ဆိုလည်း ရတယ်။
This lift will stop from the second floor to the ninth floor,ဒီဓာတ်လှေခါးက နှစ်ထပ်ကနေ ကိုးထပ်အထိ ရပ်တယ်။
Why dont we play tennis Saturday afternoon,စနေနေ့ နေ့လယ်ပိုင်းမှာ တင်းနစ်ကစားရအောင်လား။
There is a cat in front of the house,အိမ်ရဲ့ အရှေ့မှာ ကြောင် ရှိတယ်။
I use a fork when I eat cake,ကိတ်မုန့် စားတဲ့အခါ ခက်ရင်းကို သုံးတယ်။
My throat hurts from yesterday,ကျွန်တော် မနေ့ကတည်းက လည်ချောင်းနာနေတယ်။
I will call Mr Lee tomorrow,မနက်ဖန် မစ္စတာလီဆီ ဖုန်းဆက်မယ်။
Dont open that window because it is dangerous,အန္တရာယ် ရှိလို့ ဟိုကပြတင်းပေါက်ကို မဖွင့်ရဘူး။
My mother is worried because my sister is not home yet,ညီမလေး ပြန်မလာသေးလို့ အမေ စိတ်ပူနေတယ်။
This snack is sweet,ဒီမုန့်က ချိုတယ်။
I bought a magazine at the bookstore,စာအုပ်ဆိုင်မှာ မဂ္ဂဇင်းကို ဝယ်တယ်။
I drink coffee without milk,ကျွန်တော် ကော်ဖီကို နို့ မထည့်ဘဲ သောက်တယ်။
I always play with my friends on Fridays because the next day is a day off,နောက်တစ်ရက်က ပိတ်ရက်မို့လို့ သောကြာနေ့ဆို အမြဲတမ်း သူငယ်ချင်းနဲ့ လျှောက်လည်တယ်။
Ms Kimura made seven snacks,မစ္စတာခိမုရက မုန့်ကို ခုနစ်ခု လုပ်ခဲ့တယ်။
This is my home key,ဒါ ကျွန်တော့်အိမ်သော့ပါ။
I didnt get very tired,သိပ် မပင်ပန်းခဲ့ဘူး။
There are seven pieces of cake,ကိတ်မုန့် ခုနစ်ခု ရှိတယ်။
I feel very tired,အရမ်း ပင်ပန်းတယ်။
This clock costs  yen,ဒီနာရီက ယန်းထောင့်ငါးရာပါ။
The languages spoken in Japan are different from those in overseas countries,ဂျပန်နဲ့ နိုင်ငံခြားက ဘာသာစကား ကွဲပြားတယ်။
I ate food while watching TV,တီဗွီကြည့်ရင်း ထမင်းစားတယ်။
I was going to study at the library but it was closed,စာကြည့်တိုက်မှာ စာဖတ်မလို့ လုပ်ထားတာ စာကြည့်တိုက် မဖွင့်ဘူး။
If everyone is going then I will go too,မင်းတို့ သွားရင် ငါလည်း သွားမယ်။
I will raise my hand,လက်ကို အပေါ်ကို မြှောက်တယ်။
I taught Mr Lee the meaning of this word,မစ္စတာလီကို ဒီစကားရဲ့ အဓိပ္ပာယ်ကို သင်ပေးခဲ့တယ်။
I always go to work at nine in the morning,မနက်တိုင်း ကိုးနာရီမှာ ကုမ္ပဏီ သွားတယ်။
It is very convenient because the kitchen in my new house is big,အိမ်သစ်က မီးဖိုချောင် ကျယ်လို့ အရမ်း အဆင်ပြေတယ်။
I will put money in my wallet,ပိုက်ဆံအိတ်ထဲကို ပိုက်ဆံ ထည့်တယ်။
What kind of food is it,အဲဒါ ဘယ်လိုအစားအစာမျိုးလဲ။
When I get home I am going to clean my room,အိမ်ပြန်ရင် သန့်ရှင်းရေးလုပ်မယ်လို့ စိတ်ကူးထားတယ်။
I showed vacation pictures to Mr Kimura,မစ္စတာခိမုရကို ခရီးသွားတုန်းကဓာတ်ပုံ ပြလိုက်တယ်။
I bought a camera for  yen,ယန်းသုံးသောင်းနဲ့ ကင်မရာ ဝယ်လိုက်တယ်။
I gave a map of this town to Mr Kimura yesterday,မနေ့က မစ္စတာခိမုရကို ဒီမြို့ရဲ့  မြေပုံ ပေးလိုက်တယ်။
Airplanes are fast and convenient,လေယာဉ်ပျံက မြန်ပြီး အဆင်ပြေတယ်။
I walk very slowly,ကျွန်တော် လမ်းလျှောက်တာ အရမ်း နှေးတယ်။
I will put the things I do not use on top of the bookcase,မသုံးတဲ့ ပစ္စည်းကို စာအုပ်စင်ပေါ် တင်မယ်။
I got a shirt from my friends on my birthday,မွေးနေ့မှာ သူငယ်ချင်းဆီက ရှပ်အင်္ကျီ လက်ဆောင်ရတယ်။
We need a ticket to ride the train,ရထား စီးတဲ့အခါ လက်မှတ် လိုတယ်။
Mr Yamada is outside the classroom,မစ္စတာယာမာဒါက စာသင်ခန်းရဲ့ အပြင်မှာ ရှိတယ်။
Which one is the most delicious,ဘယ်ဟာ အရသာ အရှိဆုံးလဲ။
This bag is big and heavy,ဒီအိတ်က ကြီးပြီး လေးတယ်။
When you become an adult you can drink alcohol,အရွယ်ရောက်ရင် အရက်သောက်လို့ရတယ်။
No I wont go,ဟင့်အင်း၊ မသွားဘူး။
I will write the answer here,ဒီမှာ အဖြေ ရေးမယ်။
Mr Lee wants to play tennis,မစ္စတာလီက တင်းနစ် ရိုက်ချင်နေတယ်။
Ms Kimuras elder sister is very beautiful,မစ္စတာခိမုရရဲ့ အစ်မက အရမ်း ချောတဲ့မိန်းကလေး။
There is a tree in the park,ပန်းခြံမှာ သစ်ပင်တွေ ရှိတယ်။
Where do you usually eat lunch,အမြဲတမ်း ဘယ်မှာ ထမင်းစားသလဲ။
The car is not in the yard It looks like my mother is out,ခြံထဲမှာ ကား မရှိဘူး။ အမေ အပြင်ထွက်သွားတယ် ထင်တယ်။
This book is difficult with a lot of kanji,ဒီစာအုပ်က ခန်းဂျီးက များပြီး ခက်တယ်။
You can listen to both music and the radio on a radio cassette recorder,ရေဒီယိုကက်ဆက်က ရေဒီယိုရော သီချင်းရော နားထောင်လို့ရတယ်။
I live in Tokyo whereas my little brother lives in Kyoto,ကျွန်တော်က တိုကျိုမှာ နေပေမဲ့ ညီလေးကတော့ ကျိုတိုမှာ နေတယ်။
I do not like handwriting letters very much,စာလုံး ရေးရတာ သိပ် မကြိုက်ဘူး။
Would you like to go on a trip together,ခရီး အတူတူ သွားကြမလား။
The window is open,ပြတင်းပေါက် ပွင့်နေတယ်။
Mr Matsui and Ms Lee are in the same class,မစ္စတာမဆုအိနဲ့ မစ္စတာလီက အတန်း အတူတူပဲ။
When I wake up I wash my face,မနက် အိပ်ရာထပြီးတော့ မျက်နှာသစ်တယ်။
I bought a travelling book at a book store,စာအုပ်ဆိုင်ကနေ ခရီးသွားလမ်းညွှန်စာအုပ် ဝယ်လာတယ်။
My brother is good at football so he taught me,ညီလေးက ဘောလုံးကစား တော်လို့ သူ့ဆီက သင်ထားတာ။
I will go to my friends house after class,အတန်းပြီးရင် သူငယ်ချင်းအိမ် သွားမယ်။
The wall of this room is thin so I will talk quietly,ဒီအခန်းရဲ့ နံရံက ပါးလို့ အသံ တိုးတိုးနဲ့ စကားပြောတယ်။
I lost my passport at the station,ဘူတာမှာ ပတ်စပို့ ပျောက်သွားတယ်။
I am a student but my elder brother works at a company,ကျွန်တော်က ကျောင်းသားပေမဲ့ အစ်ကိုကတော့ ကုမ္ပဏီဝန်ထမ်းပါ။
The postbox is across the street from our house,စာတိုက်ပုံးက အိမ်နဲ့ မျက်နှာချင်းဆိုင်မှာ ရှိတယ်။
Mr Lees elder brother will come to Japan next week,နောက်အပတ် မစ္စတာလီရဲ့ အစ်ကို ဂျပန်ကို အလည်လာမယ်။
It will be  degrees tomorrow so it will be hot,မနက်ဖန် အပူချိန် သုံးဆယ်ဒီဂရီအထိ မြင့်မှာဆိုတော့ ပူမယ်။
I cannot play tennis on days when the wind is strong,လေကြမ်းတဲ့နေ့ဆို တင်းနစ်ရိုက်လို့မရဘူး။
That person is a teacher at this school,အဲဒီပုဂ္ဂိုလ်က ဒီကျောင်းကဆရာပါ။
There is a car behind the house,အိမ်ရဲ့ အနောက်ဘက်မှာ ကား ရှိတယ်။
I ate one snack that I got from Mr Lee,မစ္စတာလီဆီက ရခဲ့တဲ့မုန့်ကို တစ်ခု စားလိုက်တယ်။
Mr Tanaka can sing while playing the guitar,မစ္စတာတာနာခါက ဂီတာ တီးရင်းနဲ့ သီချင်းဆိုတတ်တယ်။
The drink I like the best is tea,ကျွန်တော် နံပါတ်တစ်အကြိုက်ဆုံးဒွင့်ခ်က လက်ဖက်ရည်ပါ။
Airmail is faster than surface mail,သင်္ဘောလိုင်းထက်စာရင် လေယာဉ်နဲ့ ပို့တာက မြန်မြန် ရောက်တယ်။
Our teacher is over there,အဲဒီစာအုပ်က ကျွန်တော့်ဟာပါ။
The window is open,ပြတင်းပေါက် ဖွင့်ထားတယ်။
I sent it by airmail so it was a little bit expensive,လေကြောင်းလိုင်းနဲ့ ပို့လိုက်လို့ နည်းနည်း ဈေးများတယ်။
I go abroad once a year,တစ်နှစ် တစ်ခါ နိုင်ငံခြား သွားတယ်။
I will go back to my country during summer vacation,နွေရာသီပိတ်ရက်မှာ အမိနိုင်ငံကို ပြန်မယ်။
Hello,ဟလို။
I will go to the bank and transfer some money on Thursday afternoon,ကြာသပတေးနေ့နေ့လယ်ပိုင်းကျရင် ဘဏ်မှာ ငွေသွားသွင်းမယ်။
Dinner today will be curry,ဒီနေ့ ညစာက ထမင်းဖြူနဲ့ မဆလာဟင်းပါ။
Ms Kimura has a very good mind,မစ္စတာခိမုရက ဉာဏ် အရမ်း ကောင်းတယ်။
Yes all right,ဟုတ်ကဲ့၊ နားလည်ပါပြီ။
We can study here,ဒီမှာ စာဖတ်လို့ရတယ်။
This hotel room is very pretty,ဒီဟိုတယ်က အခန်းတွေက အရမ်း သန့်တယ်။
Mr Matsuis voice is big,မစ္စတာမဆုအိက အသံကျယ်တယ်။
I go to school by bus,ဘတ်စကားနဲ့ ကျောင်းသွားတယ်။
Mr Kobayashis aunt lives in Tokyo,မစ္စတာခိုဘာယာရှိရဲ့ အဒေါ်က တိုကျိုမှာ နေတယ်။
My sister will enter university next year,လာမယ့်နှစ်မှာ ကျွန်တော့်ညီမ တက္ကသိုလ်တက်မယ်။
That shop is cheap but the food does not taste good,အဲဒီဆိုင်က ဈေးပေါပေမဲ့ စားလို့ မကောင်းဘူး။
We will be starting class now,ဒါဖြင့်၊ အတန်းစမယ်။
This tea is hot,ဒီလက်ဖက်ရည်က ပူတယ်။
Mr Matsuis birthday is in August,မစ္စတာမဆုအိရဲ့ မွေးနေ့က ရှစ်လပိုင်းမှာပါ။
There are a lot of people lined up behind me,ကျွန်တော့်နောက်မှာ လူတွေ အများကြီး တန်းစီနေတယ်။
There are desks and chairs in the classroom,စာသင်ခန်းမှာ စာရေးခုံနဲ့ ထိုင်ခုံ ရှိတယ်။
Yes that is true,ဟုတ်တယ်။
The party yesterday was fun but it was tiring,မနေ့တုန်းကပါတီက ပျော်ဖို့ကောင်းပါတယ်။ ဒါပေမဲ့ နည်းနည်းတော့ ပင်ပန်းသွားတယ်။
Mr Tanaka is always full of energy but today he is quiet,မစ္စတာယာမာဒါက အမြဲတမ်း တက်ကြွနေပြီး၊ ဒီနေ့တော့ ငြိမ်နေတယ်။
It feels like someone is living in this house,ဒီအိမ်မှာ တစ်ယောက်ယောက် နေနေသလိုပဲ။
Whats the date today,ဒီနေ့ ဘာလ ဘာရက်လဲ။
In Japan the wind is strong in spring,ဂျပန်ရဲ့ နွေဦးလေက ကြမ်းတယ်။
I was studying until late yesterday evening,မနေ့ညက အတော် မိုးချုပ်တဲ့အထိ စာဖတ်တယ်။
Where is Mr Tanaka,မစ္စတာတာနာခါ ဘယ်မှာ ရှိသလဲ။
Hello this is Kimura,ဟလို၊ ခိမုရပါ ခင်ဗျာ။
I have Thai friends,ကျွန်တော့်မှာ ထိုင်းလူမျိုးသူငယ်ချင်း ရှိတယ်။
I will go to Tokyo to hang out next week,နောက်အပတ် ကျွန်တော် သူငယ်ချင်းနဲ့ တိုကျို သွားလည်မယ်။
Next week is my sisters wedding,နောက်အပတ် အစ်မ မင်္ဂလာဆောင်မယ်။
I have four tests this week,ဒီအပတ် စာမေးပွဲ လေးခုတောင် ရှိတယ်။
Please do not forget the homework,အိမ်စာလုပ်ဖို့ မမေ့ပါစေနဲ့။
The two of us Ms Kimura and I will go to the pool tomorrow,မနက်ဖန် မစ္စတာခိမုရနဲ့ နှစ်ယောက်တည်း ရေကူးကန် သွားမယ်။
Ms Kimura is standing over there,ဟိုမှာ မစ္စတာခိမုရ ရပ်နေတယ်။
I need to buy eight souvenirs,ကျွန်တော် ခရီးအပြန်လက်ဆောင် ရှစ်ခု ဝယ်ရမယ်။
It was raining this morning but it is sunny now,မနက်က မိုးရွာပေမဲ့ အခု နေသာနေတယ်။
This is my pen,ကျွန်တော့်ဘောပင်က ဒီဟာပါ။
I will show this book to Mr Tanaka,မစ္စတာတာနာခါကို စာအုပ် ပြမယ်။
I cut my hair three days ago,ရှေ့သုံးရက်က ဆံပင်ညှပ်ခဲ့တယ်။
Mr Yamadas father works hard,မစ္စတာယာမာဒါရဲ့ အဖေက အရမ်း အလုပ်လုပ်တယ်။
I will take off my sweater because it is hot,ပူလို့ ဆွယ်တာ ချွတ်မယ်။
It starts to get gradually hotter in July,ခုနစ်လပိုင်းကစပြီး တဖြည်းဖြည်း ပူတော့မယ်။
I took a lot of pictures during the trip,ခရီးသွားတုန်းက ဓာတ်ပုံတွေ အများကြီး ရိုက်ခဲ့တယ်။
I will cut this paper vertically,ဒီစက္ကူကို အလျားလိုက် ဖြတ်မယ်။
The bank is open from nine in the morning to three in the afternoon,ဘဏ်ဖွင့်ချိန်က မနက်ကိုးနာရီကနေ ညနေသုံးနာရီအထိပါ။
Yesterday Mr Matsui contacted me,မနေ့က မစ္စတာမဆုအိဆီက အဆက်အသွယ်ရတယ်။
Who will you meet tomorrow,မနက်ဖန် ဘယ်သူနဲ့ တွေ့ဖို့ ရှိလဲ။
The food at the cafeteria is cheap and it tastes good,စားသောက်ဆိုင်ကထမင်းက ဈေးပေါတယ်။ ပြီးတော့ စားလို့လည်း ကောင်းတယ်။
I went to the beach and climbed a mountain this summer vacation,ဒီနှစ်နွေရာသီပိတ်ရက်မှာ ပင်လယ်ကိုလည်း သွားဖြစ်တယ်၊ တောင်လည်း တက်ဖြစ်တယ်။
No I cant,ဟင့်အင်း၊ မတတ်ဘူး။
An international student from China will come next month,နောက်လမှာ တရုတ်ပြည်က ပညာတော်သင်ကျောင်းသား လာမယ်။
I climbed this mountain two years ago,ကျွန်တော် တမြန်နှစ်က ဒီတောင်ကို တက်ခဲ့တယ်။
When writing an answer you must read the question carefully,အဖြေ မရေးခင် မေးခွန်းကို သေချာ ဖတ်ရတယ်။
Zero is the same as nought,ဇီးရိုးက သုံညနဲ့ အတူတူပဲ။
Small animals are very cute,တိရစ္ဆာန်သေးသေးလေးတွေက အရမ်း ချစ်ဖို့ကောင်းတယ်။
The thing I want the most right now is a new computer,အခုချိန်မှာ အလိုချင်ဆုံးအရာကတော့ ကွန်ပျူတာအသစ်ပဲ။
I need to finish this work by evening,ညနေ မစောင်းခင်ထိ ဒီအလုပ်ကို ပြီးအောင် လုပ်ရမယ်။
I am thinking of travelling abroad next year,နောက်နှစ် ကျရင် နိုင်ငံခြားကို အလည်သွားမလားလို့ စိတ်ကူးထားတယ်။
I am worried because my sister still has a high fever,ဒီနေ့လည်း ညီမလေးက ကိုယ်တွေ ဆက်တိုက် ပူနေလို့ စိတ်ပူလိုက်တာ။
It is cold outside so I will wear a coat and go to work,အပြင်မှာ အေးလို့ ကုမ္ပဏီကို ကုတ်အင်္ကျီ ဝတ်သွားတယ်။
It was cold the day before yesterday so it snowed,တစ်နေ့က အေးလို့ နှင်းတွေ ကျတယ်။
I was worried because my mother did not contact me,အမေ့ဆီက အဆက်အသွယ် မလာလို့ စိတ်ပူခဲ့တယ်။
May I go outside,အပြင်ထွက်လို့ ရမလား။
When did you start studying Japanese,ဘယ်တုန်းကတည်းက ဂျပန်စာကို လေ့လာနေတာလဲ။
No it doesnt hurt,ဟင့်အင်း၊ မကိုက်ဘူး။
After drinking alcohol it is good to drink water,အရက်သောက်ပြီးတဲ့အခါ ရေသောက်ပေးရင် ကောင်းတယ်။
I was absent from school because I was sick,ဒီနေ့ အအေးမိလို့ ကျောင်းမသွားဘူး။
That book is mine,ဟိုမှာ ဆရာ ရှိတယ်။
Then lets go to the hospital by bus,ဒါဆိုရင်၊ ဘတ်စကားနဲ့ပဲ ဆေးရုံ သွားမယ်။
A letter came from my mother back in my home country,မွေးရပ်မြေမှာရှိတဲ့အမေ့ဆီက စာလာတယ်။
When is that newspaper from,အဲဒါ ဘယ်တုန်းက သတင်းစာလဲ။
I saw Mr Kobayashi studying at the library,စာကြည့်တိုက်ထဲမှာ မစ္စတာတာနာခါ စာဖတ်နေတာ တွေ့လိုက်တယ်။
I dont like milk so I dont drink it that much,ကျွန်တော် နွားနို့ မကြိုက်လို့ သိပ် မသောက်ဘူး။
We use a knife and fork when we eat French food,ပြင်သစ်ဟင်းလျာက ဓားနဲ့ ခက်ရင်းကို သုံးပြီး စားတယ်။
It was hot so I went home and took a shower,ပူလို့ အိမ်ပြန်ပြီး ရေချိုးတယ်။
This film was not really good,ဒီရုပ်ရှင်က သိပ်မကောင်းဘူး။
Class is fun for me,ကျွန်တော် အတန်းတက်ရတာ ပျော်တယ်။
I must write an essay in English by the fourth,လေးရက်နေ့အပြီး အင်္ဂလိပ်လိုစာစီစာကုံး မရေးလို့မဖြစ်ဘူး။
I go to a karaoke place once a week,ကျွန်တော် တစ်ပတ် တစ်ခါ ကာရာအိုကေ သွားတယ်။
I am busy with work so I dont have time to go out,အလုပ်များလို့ လျှောက်လည်ဖို့ အချိန်မရဘူး။
I will eat thick meat,အသားတုံး ထူထူကို စားတယ်။
That is Mr Yamada,ဟိုဘက်က မစ္စတာယာမာဒါပါ။
I am not good at drawing pictures,ကျွန်တော် ပန်းချီဆွဲတာ ညံ့တယ်။
There are a dog and a cat in my house,အိမ်မှာ ခွေးနဲ့ ကြောင် ရှိတယ်။
Ill eat dinner at a friends house this evening,ဒီည သူငယ်ချင်းရဲ့ အိမ်မှာ ထမင်းစားမယ်။
I bought new clothes at a department store,ကုန်တိုက်မှာ အဝတ်အစားအသစ်ကို ဝယ်တယ်။
Your eyes will go bad if you read books in the dark,အမှောင်ထဲမှာ စာဖတ်ရင် မျက်စိပျက်တတ်တယ်။
Mr Tanaka is married and has children,မစ္စတာတာနာခါက လက်ထပ်ပြီးသား သားကလေး ရှိတယ်။
Mr Tanakas wife is a university lecturer,မစ္စတာတာနာခါရဲ့ အမျိုးသမီးက တက္ကသိုလ်ကဆရာမပါ။
It didnt snow very much last year,မနှစ်က နှင်း သိပ် မကျဘူး။
There arent many fish in that supermarket,အဲဒီစူပါမားကက်မှာ ငါး နည်းနည်းပဲ ရှိတယ်။
A new restaurant was built near the station,ဘူတာနားမှာ စားသောက်ဆိုင်သစ်တစ်ဆိုင် လာဖွင့်ထားတယ်။
What kind of person would you like to marry,ဘယ်လိုလူမျိုးနဲ့ လက်ထပ်ချင်သလဲ။
I will make a table by myself,စားပွဲခုံကို ကိုယ်တိုင် လုပ်တယ်။
My parents are overseas,အခု ကျွန်တော့်မိဘတွေ နိုင်ငံခြားမှာ နေတယ်။
I will check the answers for the test,စာမေးပွဲအဖြေကို ပြန်စစ်တယ်။
I must do this work by the tenth,ဆယ်ရက်နေ့ မကျော်ခင်အထိ ဒီအလုပ်ကို မလုပ်လို့မဖြစ်ဘူး။
Mr Tanaka is not a student,မစ္စတာတာနာခါဟာ ကျောင်းသား မဟုတ်ပါဘူး။
It is past  now,အခု ဆယ့်နှစ်နာရီ ကျော်ပြီ။
That person has really long legs,အဲဒီလူရဲ့ ခြေထောက်က အရှည်ကြီးပဲ။
Mr Tanakas car is big and white,မစ္စတာတာနာခါရဲ့ ကားက အဖြူရောင်ခပ်ကြီးကြီးကားပါ။
The notebook is inside the bag,ဗလာစာအုပ်က လွယ်အိတ်ထဲမှာ ရှိတယ်။
The water in the pool is cold,ရေကူးကန်ကရေက အေးတယ်။
It is hard for me to talk in English,အင်္ဂလိပ်လို ပြောရတာ ခက်တယ်။
I will go back home in two years,နောက်နှစ်ရဲ့ နောက်တစ်နှစ်ကျရင် နိုင်ငံကို ခဏပြန်မယ်။
It is summer vacation from the first of August,ရှစ်လပိုင်း တစ်ရက်နေ့ကစပြီး နွေရာသီ ပိတ်ပြီ။
Im very sorry,အားနာစရာကောင်းလိုက်တာ။
I sent a package at the post office on the sixth,ခြောက်ရက်နေ့က စာတိုက်နဲ့ကနေ အထုပ် ပို့လိုက်တယ်။
I will leave the house at nine,ကိုးနာရီမှာ အိမ်က ထွက်မယ်။
When we go abroad we bring our passports,နိုင်ငံခြားသွားတဲ့အခါ ပတ်စပို့ကို ယူသွားတယ်။
If they are cheap I will buy them,ဈေးသက်သာရင် ဝယ်မယ်။
Before I go to sleep I brush my teeth,အမြဲတမ်း မအိပ်ခင် သွားတိုက်တယ်။
I walked a lot today,ဒီနေ့ လမ်း အများကြီး လျှောက်ခဲ့တယ်။
I read a book,ကျွန်တော် စာအုပ် ဖတ်ခဲ့တယ်။
I cut the cake into four pieces using a knife,ကိတ်မုန့်ကို ဓားနဲ့ လေးပိုင်း ပိုင်းတယ်။
Mr Tanaka drinks CocaCola,မစ္စတာတာနာခါ ကိုကာကိုလာ သောက်တယ်။
We will buy a ticket when we ride the train,ရထားစီးတဲ့အခါ လက်မှတ် ဝယ်တယ်။
I always eat this set meal for lunch,နေ့လယ်စာ အမြဲတမ်း ဒီဆက်မီနူးကို စားတယ်။
When I smoke I use an ashtray,ဆေးလိပ်သောက်တဲ့အခါ ဆေးလိပ်ပြာခွက်ကို သုံးတယ်။
Last year was a good year,မနှစ်က ကောင်းတဲ့နှစ်တစ်နှစ် ဖြစ်တယ်။
I must do this work in a short time,အချိန်တိုတိုအတွင်း ဒီအလုပ်ကို မလုပ်လို့မရဘူး။
I eat three times every day,နေ့တိုင်း ထမင်း သုံးခါ စားတယ်။
After you put in some sugar then you put in a little bit of soy sauce,သကြား ထည့်ပြီးရင် နောက်တစ်ဆင့်အနေနဲ့ ပဲငံပြာရည် နည်းနည်း ထည့်မယ်။
Yesterday I received a souvenir from Mr Yamada,မနေ့က မစ္စတာယာမာဒါဆီက ခရီးအပြန်လက်ဆောင် ရခဲ့တယ်။
The train was delayed by the typhoon,မုန်တိုင်းကြောင့် ရထားနောက်ကျတယ်။
I will show the ticket at the entrance to the station,ဘူတာရဲ့ ဝင်ပေါက်မှာ လက်မှတ်ကို ပြတယ်။
My little sister wants to become a Japanese teacher,ညီမလေးက ဂျပန်စာဆရာမ လုပ်ဖို့ စိတ်ကူးနေတယ်။
This flower is red and pretty,ဒီပန်းက နီပြီး လှနေတာပဲ။
This is an old Japanese film,ဒါ ဂျပန်ရှေးဟောင်းရုပ်ရှင် ဖြစ်ပါတယ်။
A boy is climbing a tree over there,ဟိုမှာ ကောင်လေးတစ်ယောက် သစ်ပင်ပေါ် တက်နေတယ်။
The dog next door is not very big,ဘေးအိမ်က ခွေးက အကောင်မကြီးဘူး။
I leave home at seven,ခုနစ်နာရီမှာ အိမ်က ထွက်မယ်။
Mr Kobayashi gave half of the bread to Ms Kimura,မစ္စတာခိုဘာယာရှိက မစ္စတာခိမုရကို ပေါင်မုန့် တစ်ခြမ်း ပေးလိုက်တယ်။
My class went on a trip together,အတန်းကလူတွေနဲ့ ခရီးသွားခဲ့တယ်။
It is raining so I will put up an umbrella and go to school,မိုးရွာနေလို့ ကျောင်းကို ထီးဆောင်းသွားတယ်။
There are a lot of bookshelves lined up in the library,စာကြည့်တိုက်မှာ စာအုပ်စင်တွေ အများကြီး တန်းစီနေတယ်။
This watch must be expensive,ဒီနာရီ ကျိန်းသေ ဈေးကြီးမှာ သေချာတယ်။
When we fill out the bank transfer form we use a ballpoint pen,ငွေလွှဲချလန် ဖြည့်တဲ့အခါ ဘောပင်ကို သုံးတယ်။
That big bag is mine,အဲဒီအိတ်ကြီးက ကျွန်တော့်ဟာပါ။
I copied the book at the library,စာကြည့်တိုက်မှာ စာအုပ်ကို ကော်ပီကူးခဲ့တယ်။
I study English for two hours every night,ညတိုင်း နှစ်နာရီကြာလောက် အင်္ဂလိပ်စာကို လေ့လာတယ်။
I sometimes shop at this vegetable shop,ကျွန်တော် တစ်ခါတလေ ဒီကုန်စိမ်းဆိုင်မှာ ဈေးဝယ်တယ်။
I would like to become a hairdresser after I graduate,ကျောင်းပြီးရင် အလှပြင်ဆရာ လုပ်မယ်။
This is a car magazine,ဒါ မော်တော်ကားမဂ္ဂဇင်းပါ။
The toilet is on the second floor,သန့်စင်ခန်းက နှစ်ထပ်မှာ ရှိတယ်။
I rest for an hour during lunchtime every day,နေ့တိုင်း နေ့လယ်ပိုင်းဆို တစ်နာရီ နားတယ်။
Who is the new teacher,ဆရာအသစ်က ဘယ်သူပါလဲ။
There is no wind today,ဒီနေ့ လေမတိုက်ဘူး။
Please take one piece of paper at a time,စာရွက်ကို တစ်ရွက်စီ ယူပါ။
I think that person is a Japanese teacher,အဲဒီလူက ဂျပန်စာဆရာ ဖြစ်မယ် ထင်တယ်။
